,마명,기록,거리,일자,습도,S1화롱,G3화롱,G1화롱,성별,나이,부중,기수,훈련량(분),새기록
0,가거도,1:08.2,800,2019-03-01,6,19,49.7,18.0,수,6,55.5,김이랑,382,68.2
1,가거도,1:10.2,800,2018-02-02,20,18,52.4,19.5,수,6,51.0,김한남,580,70.2
2,가거도,1:06.5,800,2019-09-20,4,18,48.5,17.8,수,6,53.5,김이랑,299,66.5
3,가거도,1:09.1,800,2017-06-30,12,18,50.9,18.4,수,6,55.0,김이랑,652,69.1
4,가거도,1:09.1,800,2017-07-14,6,18,50.7,18.2,수,6,55.0,김이랑,512,69.1
5,가거도,1:11.3,800,2018-04-27,6,18,53.4,19.6,수,6,51.0,김한남,575,71.3
6,가거도,1:10.2,800,2017-12-02,6,18,52.3,19.2,수,6,51.0,김한남,727,70.2
7,가거도,1:10.6,800,2017-08-25,8,18,52.2,19.6,수,6,56.0,김이랑,443,70.6
8,가거도,1:08.8,800,2018-03-24,8,18,51.3,18.6,수,6,51.0,김한남,589,68.8
9,가거도,1:10.2,800,2018-05-25,8,19,51.3,18.2,수,6,53.0,김이랑,519,70.2
10,가거도,1:09.2,800,2018-08-24,13,18,51.0,18.7,수,6,55.0,김경훈,371,69.2
11,가거도,1:11.5,800,2018-10-06,20,18,53.2,19.7,수,6,56.0,유미라,358,71.5
12,가거도,1:17.8,900,2018-07-14,6,18,51.1,18.3,수,6,54.5,김이랑,379,77.8
13,가거도,1:17.7,900,2018-09-08,12,18,51.2,18.4,수,6,53.0,유미라,199,77.7
14,가거도,1:18.7,900,2018-11-02,6,18,52.1,18.9,수,6,56.0,유미라,386,78.7
15,가거도,1:18.9,900,2018-11-30,6,18,51.9,18.2,수,6,55.5,김이랑,859,78.9
16,가거도,1:18.6,900,2019-01-12,14,18,52.8,18.8,수,6,55.5,김이랑,528,78.6
17,가거도,1:19.8,900,2017-12-15,10,18,52.9,18.1,수,6,54.0,박성광,679,79.8
18,가거도,1:22.2,900,2017-09-16,10,18,55.4,20.0,수,6,53.0,김한남,507,82.2
19,가거도,1:17.9,900,2019-03-15,4,18,51.4,18.1,수,6,55.5,김이랑,504,77.9
20,가거도,1:18.4,900,2019-04-26,8,18,52.6,19.2,수,6,56.0,곽용남,508,78.4
21,가거도,1:16.7,900,2019-05-25,4,18,50.3,17.5,수,6,57.5,나유나,513,76.7
22,가거도,1:17.6,900,2019-08-02,4,18,51.5,18.7,수,6,55.5,김이랑,446,77.6
